,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,firstimage,firstimage2
600,경상북도 영덕군 강구면 영덕대게로 577,,35,B02,B0201,B02010700,2015506,32,20150710105200,129.4144977328,36.3933621979,6.0,20190926162155,5448,12,054-734-3080,더스트림 펜션,36453,http://tong.visitkorea.or.kr/cms/resource/56/2015456_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2015456_image2_1.jpg
601,서울특별시 서초구 서초대로77길 11,(서초동),1,B02,B0201,B02010900,2039891,32,20151109160717,127.0261408219,37.4987824163,6.0,20190827152851,9402,15,02-3481-8777,더에스호텔(The S Hotel),06615,,
602,부산광역시 수영구 민락수변로7번길 20,,6,B02,B0201,B02010900,706836,32,20090317103111,129.1248138684,35.1553185606,6.0,20190214110244,28498,12,051-751-7891,더엠모텔,48283,http://tong.visitkorea.or.kr/cms/resource/49/709849_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/709849_image3_1.jpg
603,충청북도 제천시 덕산면 월악산로 712,,33,B02,B0201,B02010700,949690,32,20100211171346,128.1499544349,36.8727585388,6.0,20190718154132,117623,7,043-646-8084,더존펜션,27225,,
604,부산광역시 수영구 광남로 151,(광안동),6,B02,B0201,B02011100,2531399,32,20180112143514,129.1177811592,35.1548434836,6.0,20190318092759,30,12,010-5822-3755,더파크 게스트하우스(The Park Guesthouse)[한국관광 품질인증/Korea Quality],48299,http://tong.visitkorea.or.kr/cms/resource/59/2557359_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2557359_image3_1.jpg
605,전라남도 목포시 평화로73번길 3,(상동),38,B02,B0201,B02010900,2581722,32,20181221154219,126.4323591159,34.7968062668,,20190116130059,24,8,061-284-8778,더하루호텔,58748,,
606,대구광역시 중구 서성로16길 46-5,,4,B02,B0201,B02010700,2384350,32,20160519132532,128.5901519449,35.8730362106,6.0,20181221104827,2990,8,053-214-6116,더한옥&스파,41919,http://tong.visitkorea.or.kr/cms/resource/48/2384348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2384348_image2_1.jpg
607,인천광역시 중구 영종대로 114,(운서동),2,B02,B0201,B02010900,1963770,32,20141107110359,126.4916841148,37.4948011734,,20190527113600,5463,10,032-751-1146,더호텔영종 [한국관광 품질인증/Korea Quality],22371,,
608,경상북도 울진군 북면 덕구온천로 924,,35,B02,B0201,B02010500,136608,32,20040213000000,129.2842331949,37.0790592288,6.0,20190111100143,56854,18,054-783-0811,덕구온천리조트 콘도,36307,http://tong.visitkorea.or.kr/cms/resource/75/2396475_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2396475_image2_1.jpg
609,경상북도 울진군 북면 덕구온천로 924,,35,B02,B0201,B02010100,142962,32,20031222000000,129.2842331949,37.0790592288,6.0,20190118165751,34914,18,054-782-0677,덕구온천리조트 호텔,36307,http://tong.visitkorea.or.kr/cms/resource/36/2395336_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2395336_image2_1.jpg
610,경상남도 통영시 욕지면 욕지일주로 961-23,,36,B02,B0201,B02011000,2575945,32,20181210151424,128.2408268125,34.6358273250,,20190115163131,13,17,055-642-5409,덕동 황토방민박(한민생),53100,,
611,경상북도 고령군 쌍림면 개실2길 39,(쌍림면),35,B02,B0201,B02011600,1870849,32,20131212173151,128.2279478614,35.6668362609,6.0,20190318105553,6810,3,054-956-4022,덕동댁[한국관광 품질인증/Korea Quality],40165,http://tong.visitkorea.or.kr/cms/resource/49/2573349_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2573349_image3_1.jpg
612,강원도 화천군 화천읍 상승로 49-16,,32,B02,B0201,B02010900,628458,32,20080925130915,127.7038224666,38.1057991994,6.0,20190109143843,30553,17,033-442-2204,덕성파크,24121,http://tong.visitkorea.or.kr/cms/resource/85/602085_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/602085_image3_1.jpg
613,서울특별시 용산구 원효로71길 7-13,(원효로2가),1,B02,B0201,B02011100,2620105,32,20190919173417,126.9641953740,37.5373046089,,20191112150020,0,21,010-766-0822,덕수궁하우스(Deok su gung House),04364,,
614,경상남도 통영시 정동3길 23,(정량동),36,B02,B0201,B02010900,2575950,32,20181210151950,128.4322935963,34.8445379629,,20190115163824,16,17,055-648-0228,덕수모텔,53050,,
615,경상북도 안동시 풍천면 하회남촌길 56,,35,B02,B0201,B02011600,2598597,32,20190422172105,128.5165368174,36.5406756026,,20190725144722,1,11,010-3586-2885,덕여재,36760,,
616,전라북도 전주시 완산구 풍남문3길 28-3,(전동),37,B02,B0201,B02011600,2531430,32,20180115093349,127.1472812712,35.8151669580,6.0,20190318144734,878,12,010-5654-3554,덕인당[한국관광 품질인증/Korea Quality],55043,http://tong.visitkorea.or.kr/cms/resource/33/2531833_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2531833_image2_1.jpg
617,충청남도 태안군 남면 우운길 158-8,,34,B02,B0201,B02010700,138502,32,20071106081221,126.2776394664,36.6783559141,6.0,20191218160651,28176,14,010-4712-9784,데네브펜션,32152,http://tong.visitkorea.or.kr/cms/resource/80/1964180_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1964180_image3_1.jpg
618,전라북도 진안군 백운면 백장로 456-16,,37,B02,B0201,B02010700,323513,32,20071212163119,127.4246052099,35.6578146614,6.0,20190404141951,27347,14,063-432-9004,데미샘 펜션,55456,,
619,전라북도 진안군 백운면 백장로 407,,37,B02,B0201,B02010700,139916,32,20070809000000,127.4212859669,35.6613392033,6.0,20190716161423,24843,14,063-433-4978,데미샘바우펜션,55456,http://tong.visitkorea.or.kr/cms/resource/83/220283_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/220283_image3_1.jpg
620,전라북도 부안군 변산면 변산우회길 3-16,,37,B02,B0201,B02010700,2618538,32,20190911144817,126.5313452278,35.6782997798,,20190916093022,0,6,010-7660-0423,데이나이스 리조트 변산,56342,,
621,충청남도 보령시 해수욕장8길 60,(신흑동),34,B02,B0201,B02011300,2594495,32,20190402130947,126.5129250330,36.3125908818,,20190423105123,9,5,041-936-2300,데이나이스호텔((유)데이나이스호텔) [한국관광 품질인증/Korea Quality],33489,,
622,인천광역시 중구 신도시남로142번길 6,(운서동),2,B02,B0201,B02011300,2594928,32,20190404104013,126.4912730778,37.4934818752,,20190417113426,5,10,032-722-0007,데이즈 호텔 인천 에어포트 (데이즈 호텔 앤 스위트 인천 에어포트) [한국관광 품질인증/Korea Quality],22371,,
623,서울특별시 중구 퇴계로 107,(충무로1가),1,B02,B0201,B02010100,2040923,32,20151112102628,126.9836568185,37.5610188688,6.0,20190613165513,5582,24,02-727-8700,데이즈호텔 명동,04536,http://tong.visitkorea.or.kr/cms/resource/18/2040918_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2040918_image2_1.jpg
624,충청북도 청주시 청원구 북이면 대율내추길 338,,33,B02,B0201,B02010900,136546,32,20070914000000,127.5491866214,36.7555443420,6.0,20190213165608,27598,10,043-212-0015,델라인 모텔,28137,http://tong.visitkorea.or.kr/cms/resource/71/1848071_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1848071_image3_1.jpg
625,인천광역시 중구 용유서로 365,(을왕동),2,B02,B0201,B02011100,2622996,32,20191004165436,126.3723740064,37.4507264363,,20191114103937,0,10,010-5214-1249,델로스호스텔,22383,,
626,충청남도 아산시 도고면 도고온천로 124-23,,34,B02,B0201,B02010500,136118,32,20031218000000,126.8890568872,36.7653148036,6.0,20181226105228,58431,9,041-541-7100,도고 글로리콘도,31547,http://tong.visitkorea.or.kr/cms/resource/86/1601586_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1601586_image3_1.jpg
627,경상남도 통영시 안개1길 22,(무전동),36,B02,B0201,B02010900,2575971,32,20181210153143,128.4293490471,34.8582697081,,20190115164316,15,17,055-644-7277,도곡장 모텔,53037,,
628,충청남도 태안군 태안읍 상도로 700-5,,34,B02,B0201,B02010700,397727,32,20080118175547,126.3342530855,36.8099972493,6.0,20190722093208,17762,14,010-9926-7235,도내솔향기펜션(구 도내펜션),32137,http://tong.visitkorea.or.kr/cms/resource/84/1964184_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1964184_image3_1.jpg
629,경상남도 통영시 욕지면 도동길 122,,36,B02,B0201,B02010700,2576005,32,20181210155036,128.2363603797,34.6417988019,,20190115164346,23,17,010-6226-0813,도드람펜션,53100,,
630,제주특별자치도 서귀포시 일주동로 8215,(신효동),39,B02,B0201,B02010700,2622935,32,20191004150426,126.6095210938,33.2602804051,,20191114102231,0,3,010-7565-3309,도라미 휴양펜션(도라미 관광 휴양펜션),63600,,
631,전라남도 나주시 다도면 동력길 18-26,,38,B02,B0201,B02011600,2350029,32,20151217091430,126.8248528839,34.9975568248,6.0,20190611144539,4423,6,061-336-3646,도래미 [한국관광 품질인증/Korea Quality],58233,http://tong.visitkorea.or.kr/cms/resource/55/2575455_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2575455_image3_1.jpg
632,경상남도 통영시 새터길 74-9,(서호동),36,B02,B0201,B02011100,2622938,32,20191004152633,128.4209085599,34.8413770016,,20191114102536,0,17,010-9997-1399,도르가관광호스텔,53055,,
633,경상남도 통영시 새터길 74-11,(서호동),36,B02,B0201,B02010900,2576036,32,20181210161236,128.4209946659,34.8412797922,,20190115164417,12,17,055-643-7340,도르가모텔,53055,,
634,경상북도 경주시 서악4길 58,(서악동),35,B02,B0201,B02011600,2613254,32,20190726144448,129.1847315323,35.8274885572,,20191111152928,0,2,010-3570-1950,도봉서당,38064,,
635,경상남도 거제시 일운면 거제대로 2236,,36,B02,B0201,B02010400,2578536,32,20181214174354,128.7046040006,34.8157627357,6.0,20190118173530,12,1,055-681-5877,도야거제가족호텔,53329,,
636,전라북도 전주시 완산구 팔달로 58-3,(서서학동),37,B02,B0201,B02011600,2574225,32,20181205171234,127.1500923233,35.8078483941,,20190903093348,0,12,010-5936-9941,도원,55100,http://tong.visitkorea.or.kr/cms/resource/22/2573622_image2_1.PNG,http://tong.visitkorea.or.kr/cms/resource/22/2573622_image2_1.PNG
637,강원도 정선군 북평면 어도원길 165,,32,B02,B0201,B02010700,625851,32,20080918143922,128.6254923287,37.4393050833,6.0,20190227161332,24206,11,033-563-0548,도원펜션,26100,http://tong.visitkorea.or.kr/cms/resource/84/601584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/601584_image3_1.jpg
638,경상남도 고성군 고성읍 신월3길 160,,36,B02,B0201,B02010800,2579642,32,20181218132523,128.3374099587,34.9593734147,6.0,20190117112243,11,3,055-673-8126,도이모텔여관,52949,,
639,인천광역시 옹진군 영흥면 영흥로757번길 147,,2,B02,B0201,B02010700,696845,32,20090220093459,126.4486164901,37.2679962144,6.0,20181228105711,53518,9,032-886-0052,도자기마을펜션,23117,http://tong.visitkorea.or.kr/cms/resource/92/697492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/697492_image3_1.jpg
640,경상북도 예천군 호명면 강변로 417,,35,,,,2602421,32,20190520161100,128.5029625356,36.6543012550,,20191112091145,0,16,010-3451-9900,도정서원,36847,,
641,경상북도 예천군 호명면 강변로 417,,35,B02,B0201,B02011600,2637776,32,20191120111355,128.5052179728,36.6514294038,,20191127134515,0,16,010-3451-9900,도정서원[한국관광 품질인증/Korea Quality],36847,,
642,제주특별자치도 서귀포시 돈내코로 180,(상효동),39,B02,B0201,B02011100,2621853,32,20190930133222,126.5785144865,33.3029335392,,20191114105917,0,3,010-7277-1439,돈내코힐 리조트,63582,,
643,부산광역시 수영구 광남로 96,(광안동),6,B02,B0201,B02010100,1163063,32,20110105174451,129.1151037345,35.1504605919,6.0,20181220132525,34627,12,051-752-3210,돈비치관광호텔,48303,,
644,경상남도 통영시 사량면 상도일주로 913-6,,36,B02,B0201,B02011000,2576069,32,20181210162302,128.1798824326,34.8382258489,,20190115170232,7,17,055-642-7331,돈지 수일민박(양수일),53103,,
645,경상남도 통영시 사량면 상도일주로 913-3,,36,B02,B0201,B02011000,2576056,32,20181210162203,128.1800157589,34.8380425383,,20190115170153,8,17,055-644-9331,돈지 / 우리횟집민박(이갑준),53103,,
646,경상남도 통영시 사량면 대항길 64-44,,36,B02,B0201,B02010700,2576086,32,20181210163123,128.2115237834,34.8510277540,,20190115170254,24,17,010-9564-6002,돈키호테펜션,53103,,
647,충청남도 서산시 해미면 한티2길 36-4,,34,B02,B0201,B02010700,2017735,32,20150716152444,126.5852645192,36.6749282565,6.0,20190718105331,10340,7,010-9552-1950,돌꽃펜션,31962,,
648,경상북도 포항시 북구 해안로 57,,35,B02,B0201,B02010900,609076,32,20080813100437,129.3771581609,36.0538332984,6.0,20190401171724,23125,23,054-252-1230<br />054-252-2345,돌핀스모텔,37708,http://tong.visitkorea.or.kr/cms/resource/92/616292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/616292_image3_1.jpg
649,강원도 영월군 영월읍 동강로 225,,32,B02,B0201,B02010700,138384,32,20041230000000,128.5073211811,37.2005581189,6.0,20190909145351,34664,8,033-373-7151/033-374-7151,동강빌리지,26223,http://tong.visitkorea.or.kr/cms/resource/85/1948485_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1948485_image3_1.jpg
650,강원도 영월군 영월읍 사지막길 160,,32,B02,B0201,B02010500,1991092,32,20150309163656,128.5187307595,37.2177619104,6.0,20190114173028,7525,8,033-905-2000,동강시스타 리조트,26223,http://tong.visitkorea.or.kr/cms/resource/94/2012594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2012594_image2_1.jpg
651,강원도 영월군 영월읍 동강로 1488-71,,32,B02,B0201,B02010700,970128,32,20100309162324,128.5258953706,37.2653176825,6.0,20190403173932,26151,8,033-374-1276,동강하소엘,26221,,
652,경상남도 거제시 장평3로6길 10-1,(장평동),36,B02,B0201,B02010900,2578549,32,20181214174458,128.6102101845,34.8920497310,6.0,20190118162813,13,1,055-636-8208,동경모텔,53265,,
653,경상남도 통영시 정동3길 36,(정량동),36,B02,B0201,B02010900,2576099,32,20181210163427,128.4316381060,34.8442268746,,20190115170324,13,17,055-648-0331,동경모텔,53050,,
654,전라북도 군산시 양안로 10,(경장동),37,B02,B0201,B02010900,2569526,32,20181126093854,126.7342474224,35.9698588813,,20190118110743,16,2,063-452-6077,동경모텔,54078,,
655,경상남도 통영시 광도면 죽림5로 43,,36,B02,B0201,B02010100,1917811,32,20140507094244,128.4206990848,34.8854859532,6.0,20190730174512,8633,17,055-641-1020,동경호텔,53014,,
656,경기도 용인시 처인구 원삼면 두창호수로 245,,31,B02,B0201,B02010700,2569755,32,20181126144247,127.3403500267,37.1469538171,,20190903093619,0,23,010-5351-8685,동구박펜션(동구박 관광펜션),17176,http://tong.visitkorea.or.kr/cms/resource/56/2566156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2566156_image2_1.jpg
657,전라북도 군산시 동국사길 7,(월명동),37,B02,B0201,B02011100,2569537,32,20181126094601,126.7082716127,35.9835707608,,20191014101426,27,2,010-5546-0955,동국(게스트하우스 동국),54023,,
658,경상북도 경주시 진현로2길 21,,35,B02,B0201,B02010600,397639,32,20080123152321,129.3242122183,35.7841460827,6.0,20181228141204,35576,2,054-748-7400<br />054-748-6223,동궁 유스호스텔,38127,http://tong.visitkorea.or.kr/cms/resource/28/1885928_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1885928_image3_1.jpg
659,부산광역시 동래구 금강로 170-7,,6,B02,B0201,B02010900,137211,32,20021025000000,129.0820046035,35.2237295497,6.0,20190401170327,53968,6,051-554-2526,동궁장모텔,47708,http://tong.visitkorea.or.kr/cms/resource/39/709839_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/709839_image3_1.jpg
660,경상북도 안동시 북문옥정길 67-7,(옥정동),35,B02,B0201,B02011100,2570440,32,20181127163855,128.7345972124,36.5679682455,,20191024152048,0,11,010-3099-2074,동근재(同根齋),36692,http://tong.visitkorea.or.kr/cms/resource/51/2568251_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2568251_image2_1.jpg
661,전라북도 전주시 완산구 은행로 33-6,(풍남동3가),37,B02,B0201,B02011600,2595021,32,20190404135921,127.1526585258,35.8168613026,,20191217171651,6,12,063-287-9300,동락원 [한국관광 품질인증/Korea Quality],55041,,
662,경상남도 통영시 욕지면 동두길 15,,36,B02,B0201,B02010700,2576223,32,20181210171711,128.3744039718,34.6401819794,,20190116102822,10,17,055-648-6944,동머리펜션,53101,,
663,전라남도 목포시 삼학로18번길 21-1,(호남동),38,B02,B0201,B02010900,2581727,32,20181221155225,126.3891742071,34.7899341106,,20190116094411,29,8,061-243-3195,동명장,58752,,
664,제주특별자치도 제주시 구좌읍 월정1길 89,,39,B02,B0201,B02010700,2358196,32,20160104101726,126.7928011839,33.5585059438,6.0,20190807164548,4000,4,010-3697-4191,동박생이,63358,http://tong.visitkorea.or.kr/cms/resource/88/2358188_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/2358188_image2_1.JPG
665,경상남도 진주시 논개길 103,,36,B02,B0201,B02010100,1365352,32,20110817164631,128.0903837349,35.1934399618,6.0,20190530102813,46176,13,055-760-1700,동방관광호텔,52759,,
666,경상남도 고성군 고성읍 중앙로25번길 70-29,,36,B02,B0201,B02010900,2579647,32,20181218133001,128.3248661394,34.9772100815,6.0,20190117112424,16,3,055-673-0801,동방모텔,52942,,
667,강원도 영월군 영월읍 단종로 3-1,,32,B02,B0201,B02010900,622333,32,20080910135958,128.4678807683,37.1838537389,6.0,20190416171641,25416,8,033-373-4921,동방모텔,26233,http://tong.visitkorea.or.kr/cms/resource/23/597923_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/597923_image3_1.jpg
668,부산광역시 기장군 장안읍 장안로 38,(장안읍),6,B02,B0201,B02010100,985311,32,20100325095300,129.2532058338,35.3433498762,6.0,20191015091538,29949,3,051-727-9991~5,동부산관광호텔,46032,http://tong.visitkorea.or.kr/cms/resource/44/1378444_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1378444_image3_1.jpg
669,서울특별시 광진구 구의강변로 38,,1,B02,B0201,B02010100,142719,32,20040427000000,127.0918838346,37.5341517137,6.0,20181220091953,35789,6,02-455-1100,동서울 관광호텔,05116,,
670,강원도 원주시 지정면 신평석화로 236,,32,B02,B0201,B02010600,136508,32,20051129000000,127.8794606973,37.4008232364,6.0,20181219143354,30223,9,02-990-8700,동서울레스피아,26358,http://tong.visitkorea.or.kr/cms/resource/02/597402_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/597402_image3_1.jpg
671,강원도 영월군 영월읍 중앙1로 17-12,,32,B02,B0201,B02010900,622544,32,20080910161524,128.4650477176,37.1828926840,6.0,20190412105902,21973,8,033-373-2563,동아파크,26235,http://tong.visitkorea.or.kr/cms/resource/34/597934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/597934_image3_1.jpg
672,전라남도 목포시 상리로 6-1,(상동),38,B02,B0201,B02010900,2581733,32,20181221155808,126.4170156572,34.8121292889,,20190116094443,29,8,061-277-7242,동양장,58642,,
673,경상남도 통영시 욕지면 본촌길 21-11,,36,B02,B0201,B02011000,2576272,32,20181210174043,128.3521834571,34.6488278429,,20190116102847,7,17,055-643-6931 / 010-4800-6931,동영민박,53101,,
674,제주특별자치도 서귀포시 솔동산로10번길 45,(서귀동),39,B02,B0201,B02011100,2623021,32,20191004172020,126.5625978184,33.2408568031,,20191114110633,0,3,010-3199-6189,동원호스텔(서귀포 동원호텔),63596,,
675,전라남도 목포시 비파로124번길 14,(상동),38,B02,B0201,B02010900,2581739,32,20181221160314,126.4241928677,34.8093491646,,20190116112330,26,8,061-282-5181,동일모텔,58662,,
676,전라북도 부안군 변산면 궁항로 66,,37,B02,B0201,B02010700,1639649,32,20120612094308,126.4768352927,35.6041628544,6.0,20191021175803,20178,6,063-583-0179,동진캐슬 아모르펜션,56340,,
677,경상남도 통영시 중앙시장4길 6-31,(동호동),36,B02,B0201,B02011100,2576288,32,20181210174120,128.4263052122,34.8451822282,,20190116102911,13,17,055-646-5300,동피랑게스트하우스,53052,,
678,충청남도 공주시 반포면 임금봉길 32-23,,34,B02,B0201,B02010900,2373162,32,20160316144311,127.2533654689,36.3670919426,6.0,20190308134057,3739,1,042-825-1181,동학사 발리모텔,32626,http://tong.visitkorea.or.kr/cms/resource/41/2373141_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2373141_image2_1.jpg
679,강원도 동해시 천곡1길 74-2,(천곡동),32,B02,B0201,B02011600,2569632,32,20181126112720,129.1083018312,37.5283347164,,20190903093922,0,3,010-2479-4171,동해한옥 동안재,25756,http://tong.visitkorea.or.kr/cms/resource/51/2567851_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2567851_image2_1.jpg
680,강원도 동해시 천곡1길 74-2,(천곡동),32,B02,B0201,B02011600,2595489,32,20190408092143,129.1083018312,37.5283347164,,20191205170306,18,3,010-2974-3007,동해한옥 동안재 [한국관광 품질인증/Korea Quality],25756,http://tong.visitkorea.or.kr/cms/resource/89/2633989_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2633989_image3_1.jpg
681,강원도 동해시 동굴로 125-3,,32,B02,B0201,B02010100,2481151,32,20170215133612,129.1177234705,37.5198414353,6.0,20190611104302,3151,3,033-539-2000,동해현진관광호텔,25770,,
682,서울특별시 종로구 평창문화로 136,(평창동),1,B02,B0201,B02010100,143005,32,20031222000000,126.9751367762,37.6095047467,6.0,20190110130801,37728,23,02-379-0520,동화킴스관광호텔,03010,http://tong.visitkorea.or.kr/cms/resource/22/1867622_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1867622_image3_1.jpg
683,서울특별시 성북구 회기로 5-8,(종암동),1,B02,B0201,B02011100,2569926,32,20181126165122,127.0371538525,37.5916412712,,20191011113238,0,17,010-4106-1416,두리 게스트 하우스(두리 게스트하우스),02796,http://tong.visitkorea.or.kr/cms/resource/63/2567963_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/63/2567963_image2_1.JPG
684,전라남도 여수시 오림4길 55,오림동,38,B02,B0201,B02010900,1494777,32,20111215142406,127.7167666367,34.7574601210,6.0,20191217170305,23610,13,061-652-5000,두바이모텔[한국관광 품질인증/Korea Quality],59716,http://tong.visitkorea.or.kr/cms/resource/97/2575197_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2575197_image3_1.jpg
685,전라북도 군산시 비응남1길 13,(비응도동),37,B02,B0201,B02010100,2569547,32,20181126095614,126.5265557203,35.9376840187,,20190118110846,13,2,063-464-5531,두바이호텔,54003,,
686,광주광역시 서구 상무번영로 47,(치평동),5,B02,B0201,B02010900,2595647,32,20190408144823,126.8527576350,35.1540812987,,20191128150327,9,5,010-5094-1400,두바이호텔 [한국관광 품질인증/Korea Quality],61948,http://tong.visitkorea.or.kr/cms/resource/44/2629944_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2629944_image3_1.jpg
687,서울특별시 관악구 남부순환로247가길 22,(봉천동)2층,1,B02,B0201,B02011100,2608495,32,20190628161042,126.9654608369,37.4774199202,,20191024112627,0,5,070-4790-8641,둥글하우스 (Doonggle House),08801,,
688,경기도 양평군 서종면 황순원로 325-16,,31,B02,B0201,B02010700,943142,32,20100203092632,127.3897245573,37.5911088377,6.0,20190724093847,16230,19,031-774-9178,둥지펜션,12504,http://tong.visitkorea.or.kr/cms/resource/58/1893458_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1893458_image3_1.jpg
689,경기도 용인시 처인구 원삼면 후평로 166,,31,B02,B0201,B02010700,983626,32,20100323131251,127.3241406174,37.1385433853,6.0,20181226170132,30267,23,031-333-8886,둥지황토펜션,17170,http://tong.visitkorea.or.kr/cms/resource/43/1786843_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/1786843_image3_1.jpg
690,경기도 파주시 탄현면 필승로 438,,31,B02,B0201,B02010900,1873826,32,20131219100205,126.6856222889,37.7802491315,6.0,20191226160930,5979,27,031-945-3086,듀오텔,10862,http://tong.visitkorea.or.kr/cms/resource/53/1873553_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/1873553_image2_1.JPG
691,전라북도 군산시 부곡5길 9,(나운동),37,B02,B0201,B02010900,2569563,32,20181126101338,126.6907070435,35.9631922319,,20190118110915,11,2,063-467-6911,드라마모텔,54141,,
692,강원도 평창군 대관령면 올림픽로 715,,32,B02,B0201,B02010100,142814,32,20031219000000,128.7055231540,37.6509516248,6.0,20190225133039,35483,15,033-330-7111,드래곤밸리 호텔,25352,http://tong.visitkorea.or.kr/cms/resource/11/2493811_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2493811_image2_1.jpg
693,전라남도 여수시 둔덕3길 14,,38,B02,B0201,B02010900,725256,32,20090421164141,127.7018982199,34.7682058824,6.0,20191126181110,19722,13,061-653-9668,드림모텔,59697,http://tong.visitkorea.or.kr/cms/resource/58/726458_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/726458_image3_1.jpg
694,제주특별자치도 서귀포시 남원읍 남태해안로 364,,39,B02,B0201,B02010700,1905304,32,20140313180317,126.7405342887,33.2806163622,6.0,20181221170443,3293,3,064-764-0871,드림캐슬,63617,,
695,강원도 철원군 동송읍 창동로 2407,,32,B02,B0201,B02010900,626425,32,20080919134611,127.2865026720,38.1873374792,6.0,20190326171536,22184,12,033-455-9199,드림파크모텔,24023,http://tong.visitkorea.or.kr/cms/resource/16/597716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/597716_image3_1.jpg
696,충청남도 태안군 남면 몽산포길 168,,34,B02,B0201,B02010700,1269533,32,20110503135449,126.2792810676,36.6751924181,6.0,20190104095650,15814,14,010-7200-1921,드림하우스,32152,,
697,강원도 영월군 영월읍 봉래산로 339-6,,32,B02,B0201,B02010700,622580,32,20080910163318,128.4744238012,37.2117367639,6.0,20191224152046,28969,8,033-375-1234,드림힐펜션,26224,http://tong.visitkorea.or.kr/cms/resource/79/597979_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/597979_image3_1.jpg
698,서울특별시 강서구 곰달래로24길 35,,1,B02,B0201,B02010100,1801311,32,20130327135344,126.8473923624,37.5290562581,6.0,20190604170335,19223,4,02-2602-6393,드어반관광호텔,07778,,
699,강원도 인제군 기린면 방태산길 200,,32,B02,B0201,B02010700,139171,32,20070129000000,128.3858573274,37.9324656329,6.0,20190906154830,29286,10,033-463-2956,들꽃나라펜션,24656,http://tong.visitkorea.or.kr/cms/resource/85/1843085_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1843085_image3_1.jpg
700,경기도 양평군 용문면 화전로 330,,31,B02,B0201,B02010700,398109,32,20080118184526,127.6021395519,37.4624887553,6.0,20190318160731,19982,19,031-773-3196,들꽃이야기,12524,,
701,전라남도 목포시 노적봉길 6,(명륜동),38,B02,B0201,B02011100,2592543,32,20190319142620,126.3848412502,34.7901923440,,20190524161236,6,8,010-8340-8004,등대게스트하우스 [한국관광 품질인증/Korea Quality],58728,,
702,전라북도 군산시 조촌안5길 40,,37,B02,B0201,B02010900,136953,32,20030612000000,126.7337362996,35.9720725087,6.0,20190514164258,24353,2,063-452-0130,등대모텔,54076,http://tong.visitkorea.or.kr/cms/resource/63/1976263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1976263_image3_1.jpg
