,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,modifiedtime,readcount,sigungucode,tel,title,mlevel,zipcode
840,경기도 과천시 교육원로 118,(중앙동),31,A01,A0101,A01010700,2615455,12,20190816133802,,,126.9736144071,37.4228847293,20190816133802,0,3.0,,과천야생화자연학습장,6.0,13811
841,경기도 과천시 자하동길 18,(중앙동),31,A02,A0201,A02010700,128580,12,20050914000000,http://tong.visitkorea.or.kr/cms/resource/49/734349_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/734349_image3_1.jpg,126.9874128521,37.4335476279,20190222144054,21104,3.0,,과천향교,6.0,13800
842,전라남도 진도군 조도면 맹골곽도길 23,,38,A01,A0101,A01011300,580302,12,20080627092816,,,125.8592348190,34.1974338073,20181214172040,22851,21.0,,곽도,8.0,58958
843,제주특별자치도 제주시 애월읍 금성5길,(곽지리),39,A01,A0101,A01011200,127870,12,20031020000000,http://tong.visitkorea.or.kr/cms/resource/43/599843_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/599843_image3_1.jpg,126.3046460715,33.4502629165,20190607170634,46504,4.0,,곽지과물해변,6.0,63034
844,전라북도 임실군 지사면 관기1길 32-7,(지사면),37,A02,A0201,A02010700,1956436,12,20141015151151,,,127.3597153262,35.5971481855,20191126160026,1456,10.0,,관곡서원,6.0,55920
845,전라북도 임실군 지사면 관기1길 32-7,(지사면),37,A02,A0201,A02010700,1586295,12,20120330111128,,,127.3597153262,35.5971481855,20191211161614,15141,10.0,,관곡서원 소장 전적 및 고문서,6.0,55920
846,경기도 시흥시 관곡지로 93,(하중동),31,A01,A0101,A01011700,756629,12,20090623153248,http://tong.visitkorea.or.kr/cms/resource/92/760292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/760292_image3_1.jpg,126.8040692923,37.4026590567,20180731100354,45939,14.0,031-310-6211,관곡지,6.0,14973
847,대구광역시 남구 앞산순환로 306,(대명동),4,A02,A0203,A02030400,1608980,12,20120420175116,http://tong.visitkorea.or.kr/cms/resource/87/1573787_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1573787_image3_1.jpg,128.5624306351,35.8281018970,20191211134810,17118,1.0,,관덕정,6.0,42501
848,제주특별자치도 제주시 관덕로 19,(삼도이동),39,A02,A0201,A02010700,126460,12,20021213000000,http://tong.visitkorea.or.kr/cms/resource/52/197752_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/197752_image3_1.jpg,126.5219701925,33.5132954930,20190729154702,24514,4.0,,관덕정(제주),6.0,63166
849,광주광역시 남구 사직길 49,(사동) 사직공원 내,5,A02,A0201,A02010700,127069,12,20020510000000,http://tong.visitkorea.or.kr/cms/resource/48/566648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/566648_image3_1.jpg,126.9117749456,35.1418003485,20190121152120,28945,2.0,,관덕정의 각궁,6.0,61638
850,경상북도 경산시 용성면 서원천로 268-21,,35,A02,A0201,A02010700,1957989,12,20141021092709,,,128.8571307064,35.7925752543,20191125174435,1764,1.0,,관란서원,6.0,38569
851,경상남도 창녕군 창녕읍 화왕산관룡사길 171,(창녕읍),36,A02,A0201,A02010800,126575,12,20040217000000,http://tong.visitkorea.or.kr/cms/resource/76/216776_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/216776_image3_1.jpg,128.5534645773,35.5319601845,20181010144508,30338,15.0,,관룡사,6.0,50335
852,전라남도 진도군 조도면 관매도길,,38,A01,A0101,A01011300,127549,12,20030929000000,http://tong.visitkorea.or.kr/cms/resource/00/1954200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1954200_image3_1.jpg,126.0520835135,34.2411375211,20190701100441,81407,21.0,,관매도·관매해수욕장,6.0,58958
853,서울특별시 서초구 바우뫼로7길 111,(우면동),1,A02,A0201,A02010800,776082,12,20090810091933,http://tong.visitkorea.or.kr/cms/resource/66/1928066_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1928066_image3_1.jpg,127.0222641043,37.4737408098,20190611171420,32976,15.0,,관문사(서울),6.0,06762
854,경북 경주시 외동읍 모화리,,35,A01,A0101,A01010400,987558,12,20100326140808,,,129.3562759049,35.6927792079,20191205172113,21285,2.0,,관문산,6.0,780-825
855,전남 담양군 담양읍 객사리1,"(객사리, 남산리 일원)",38,A01,A0101,A01010700,128981,12,20060525000000,http://tong.visitkorea.or.kr/cms/resource/48/741948_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/741948_image3_1.jpg,126.9856027140,35.3239643462,20181129174647,54718,7.0,,관방제림,6.0,517-802
856,충청남도 부여군 부여읍 부소로 15,,34,A02,A0201,A02010200,125988,12,20030302000000,http://tong.visitkorea.or.kr/cms/resource/33/2366333_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2366333_image3_1.jpg,126.9122565509,36.2854203191,20190806173042,93975,6.0,,관북리유적과 부소산성 [유네스코 세계유산],6.0,33137
857,전라남도 진도군 조도면 관사도길 20-10,,38,A01,A0101,A01011300,580311,12,20080627093425,,,125.9753331373,34.3094980868,20181214172009,21029,21.0,,관사도,8.0,58956
858,경상남도 창녕군 고암면 월미상월길 115,(고암면),36,A02,A0201,A02010700,1959487,12,20141023112737,,,128.5223079142,35.5709107777,20190418174934,1491,15.0,,관산서당,6.0,50315
859,전라북도 전주시 완산구 남고산성1길 159-9,(동서학동),37,A02,A0201,A02010700,126623,12,20020513000000,,,127.1610833184,35.7961332505,20190508151038,21386,12.0,,관성묘,6.0,55113
860,경상북도 경주시 양남면 양남로 68-24,,35,A01,A0101,A01011200,1621854,12,20120503170924,http://tong.visitkorea.or.kr/cms/resource/94/1616994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1616994_image3_1.jpg,129.4525044810,35.6622372466,20180627161906,21781,2.0,054-774-5920,관성솔밭해변,6.0,38220
861,부산광역시 중구 용두산길 37-55,(광복동2가),6,A02,A0201,A02010700,1942348,12,20140819162210,,,129.0327483723,35.1005396593,20190522173709,5819,15.0,,관수옥과 초량왜관 터,6.0,48950
862,서울특별시 관악구 관악로,(신림동),1,A01,A0101,A01010400,126480,12,20040129000000,http://tong.visitkorea.or.kr/cms/resource/44/1857244_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1857244_image3_1.jpg,126.9540987991,37.4484036407,20190513171616,116154,5.0,,관악산,6.0,08826
863,서울특별시 관악구 낙성대로 77,(봉천동),1,A02,A0201,A02010700,126513,12,20031230000000,http://tong.visitkorea.or.kr/cms/resource/06/928406_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/928406_image3_1.jpg,126.9602475997,37.4711316683,20190306151125,50140,5.0,,관악산 낙성대공원,6.0,08799
864,서울특별시 관악구 신림로18가길 10,(신림동),1,A01,A0101,A01010500,756580,12,20090623143349,http://tong.visitkorea.or.kr/cms/resource/14/755414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/755414_image3_1.jpg,126.9496301598,37.4342218741,20191220112559,31386,5.0,02-880-3675,관악산 생태공원,7.0,08839
865,서울특별시 관악구 대학동,,1,A02,A0202,A02020700,756594,12,20090623144834,http://tong.visitkorea.or.kr/cms/resource/58/755558_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/755558_image3_1.jpg,126.9472769143,37.4584717950,20190911094625,27352,5.0,,관악산 호수공원,6.0,08813
866,서울 관악구 신림9동,205-5,1,A01,A0101,A01010700,756590,12,20090623144132,http://tong.visitkorea.or.kr/cms/resource/29/755529_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/755529_image3_1.jpg,126.9480489763,37.4616769920,20181012112625,42625,5.0,,관악산공원 야외식물원,6.0,151-858
867,대구광역시 동구 갓바위로 350,(능성동),4,A02,A0201,A02010800,297984,12,20071127093343,http://tong.visitkorea.or.kr/cms/resource/44/1021244_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1021244_image3_1.jpg,128.7333808444,35.9775409155,20190306140257,29395,4.0,,관암사(대구),6.0,41008
868,강원도 삼척시 신기면 환선로 557,,32,A01,A0101,A01011900,767764,12,20090717140903,,,129.0439386855,37.3295813487,20191115102002,33418,4.0,033-541-9266,관음굴(삼척 대이리 동굴지대),6.0,25942
869,경상북도 울릉군 북면 천부리,,35,A01,A0101,A01011300,2616077,12,20190819172230,,,130.9214066415,37.5432169354,20190821154822,0,17.0,,"관음도 (울릉도, 독도 국가지질공원)",,40213
870,강원도 평창군 진부면 오대산로 374-8,,32,A02,A0201,A02010700,2406398,12,20160830111625,,,128.5925086732,37.7311846077,20160930161115,715,15.0,033-339-6633,관음변상탱화,6.0,25318
871,전라북도 부안군 진서면 원암길,,37,A01,A0101,A01010400,717093,12,20090406172839,,,126.5761705465,35.6174630111,20190225165127,22983,6.0,063-581-3082,관음봉,6.0,56344
872,경상북도 고령군 대가야읍 주산순환길 147,(고령읍),35,A02,A0201,A02010800,297986,12,20071127094658,http://tong.visitkorea.or.kr/cms/resource/43/1967243_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/1967243_image3_1.jpg,128.2664454450,35.7329933639,20190308094928,19676,3.0,,관음사(고령),6.0,40136
873,전라남도 곡성군 오산면 성덕관음길 453,,38,A02,A0201,A02010800,128082,12,20040322000000,http://tong.visitkorea.or.kr/cms/resource/90/2032690_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2032690_image3_1.jpg,127.1632369234,35.2177571594,20190507175329,21399,3.0,,관음사(곡성),6.0,57519
874,전라북도 남원시 보절면 관음사길 82,(보절면),37,A02,A0201,A02010800,129223,12,20060911000000,,,127.4103806131,35.4779875640,20191216173739,18720,4.0,,관음사(남원),6.0,55707
875,대구광역시 동구 둔산로 535,(도동),4,A02,A0201,A02010800,297989,12,20071127095202,http://tong.visitkorea.or.kr/cms/resource/62/1574162_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1574162_image3_1.jpg,128.6651523890,35.9189546191,20190306135925,28731,4.0,,관음사(대구),6.0,41017
876,전라북도 무주군 설천면 양지길 92-38,(설천면),37,A02,A0201,A02010800,1581045,12,20120327175120,,,127.7853446231,36.0004793474,20191211163456,18014,5.0,,관음사(무주),6.0,55548
877,서울특별시 관악구 승방1길 109-80,(남현동),1,A02,A0201,A02010800,126916,12,20021021000000,http://tong.visitkorea.or.kr/cms/resource/02/566502_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/566502_image3_1.jpg,126.9765239933,37.4676601403,20190129111301,31711,5.0,,관음사(서울),6.0,08809
878,울산광역시 중구 신기16길 62,(태화동),7,A02,A0201,A02010800,297985,12,20071127094009,,,129.2968905069,35.5563517735,20191016165524,22099,1.0,,관음사(울산),6.0,44450
879,제주특별자치도 제주시 산록북로 660,(아라일동),39,A02,A0201,A02010800,126456,12,20030721000000,http://tong.visitkorea.or.kr/cms/resource/92/1618292_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/1618292_image3_1.jpg,126.5581440803,33.4237615317,20181016142143,35811,4.0,,관음사(제주),6.0,63244
880,경상남도 창녕군 도천면 영산도천로 11-14,,36,A02,A0201,A02010800,1622923,12,20120504175705,,,128.5064415854,35.4055846774,20191209145309,17782,15.0,,관음사(창녕),6.0,50350
881,강원 원주시 행구동,산 42번지,32,A01,A0101,A01010900,125645,12,20030827000000,http://tong.visitkorea.or.kr/cms/resource/05/194705_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/194705_image3_1.jpg,128.0055204408,37.3433655547,20191127182259,26677,9.0,,관음사/국형사계곡,5.0,220-160
882,충청남도 아산시 영인면 영인로96번길 16-6,,34,A02,A0201,A02010700,129665,12,20070813000000,http://tong.visitkorea.or.kr/cms/resource/12/532812_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/532812_image3_1.jpg,126.9471270143,36.8538695104,20190508162746,22385,9.0,,관음사석탑,6.0,31432
883,경기도 포천시 이동면,", 영북면",31,A01,A0101,A01010400,125455,12,20031124000000,http://tong.visitkorea.or.kr/cms/resource/88/1955788_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1955788_image3_1.jpg,127.3111023223,38.0285731445,20180703101528,25463,29.0,,관음산,6.0,11112
884,충청북도 보은군 속리산면 법주사로 658-191,,33,A02,A0201,A02010800,298006,12,20071127101656,,,127.8674636383,36.5575255970,20191016165410,19613,3.0,,관음암(충북),6.0,28908
885,경상남도 김해시 진례면 평지길 299,(진례면),36,A02,A0201,A02010800,1967039,12,20141121110606,,,128.7308658349,35.2214122452,20191121154830,4553,4.0,,관음정사(김해),6.0,50874
886,전라북도 김제시 금구면 선비로 1354-42,,37,A02,A0201,A02010800,1597967,12,20120409152904,,,127.0574815933,35.7897238525,20191211150311,15364,3.0,,관응사(김제),6.0,54341
887,충청남도 논산시 관촉로1번길 25,(관촉동),34,A02,A0201,A02010800,125905,12,20040219000000,http://tong.visitkorea.or.kr/cms/resource/35/1278835_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1278835_image3_1.jpg,127.1122690037,36.1880682739,20181030100243,57378,3.0,,관촉사(논산),6.0,32994
888,경상남도 창원시 마산합포구 관해정길 17,(교방동),36,A02,A0201,A02010700,250428,12,20071029000000,http://tong.visitkorea.or.kr/cms/resource/64/2484464_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2484464_image2_1.jpg,128.5617225497,35.2112741959,20191107170554,20481,16.0,,관해정,6.0,51269
889,서울특별시 중구 퇴계로34길 28,(필동2가),1,A02,A0201,A02010400,1605990,12,20120418130136,http://tong.visitkorea.or.kr/cms/resource/02/1985202_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/1985202_image3_1.jpg,126.9935754302,37.5585082277,20191211141146,22498,24.0,,관훈동 민씨 가옥 (구 부마도위박영효가옥),6.0,04626
890,경기도 구리시 장자대로 34,(교문동),31,A02,A0205,A02050400,753747,12,20090616155233,http://tong.visitkorea.or.kr/cms/resource/15/2480715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2480715_image2_1.jpg,127.1309204428,37.5870296093,20190911095455,28266,6.0,,광개토태왕비ㆍ동상,6.0,11949
891,경기도 수원시 영통구 광교호수공원로 102,(하동),31,A02,A0205,A02050200,2633915,12,20191107134108,,,127.0638020287,37.2750784751,20191128155058,0,13.0,,광교 프라이부르크전망대,6.0,16514
892,경기도 수원시 장안구 상광교동,산58-1,31,A01,A0101,A01010400,128064,12,20040312000000,,,127.0169408703,37.3294352295,20180629134240,110417,13.0,,광교산,8.0,16803
893,경상북도 포항시 남구 구룡포읍 정동길77번길 11-2,(구룡포읍),35,A02,A0201,A02010700,1957992,12,20141021093040,http://tong.visitkorea.or.kr/cms/resource/57/1696557_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/1696557_image3_1.jpg,129.5190822931,35.9419986500,20191125174328,1472,23.0,,광남서원,6.0,37941
894,강원도 정선군 화암면 광대곡길,,32,A01,A0101,A01010900,125635,12,20030827000000,,,128.8167566443,37.3164951288,20190225163517,28681,11.0,,광대곡,6.0,26117
895,전라남도 진도군 조도면 가사도길 42-365,,38,A01,A0101,A01011300,129228,12,20060912000000,http://tong.visitkorea.or.kr/cms/resource/05/195405_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/195405_image3_1.jpg,126.1047277525,34.5283755881,20180821140151,21260,21.0,,광대도,6.0,58953
896,강원도 화천군 사내면 포화로 582,,32,A01,A0101,A01010900,125642,12,20030901000000,http://tong.visitkorea.or.kr/cms/resource/95/172295_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/172295_image3_1.jpg,127.4817103088,38.0763151672,20180530145822,40330,17.0,,광덕계곡,6.0,24150
897,충청북도 증평군 도안면 상그린로 239,,33,A02,A0201,A02010800,298084,12,20071127112750,http://tong.visitkorea.or.kr/cms/resource/29/1082029_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1082029_image3_1.jpg,127.6246665798,36.8324813097,20191016165215,28222,12.0,,광덕사,6.0,27904
898,경상북도 상주시 외남면 구서2길 114,(외남면),35,A02,A0201,A02010800,298080,12,20071127112404,http://tong.visitkorea.or.kr/cms/resource/48/1967248_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/1967248_image3_1.jpg,128.0952300979,36.3352079348,20190306135546,17262,9.0,,광덕사(상주),6.0,37260
899,충청남도 천안시 동남구 광덕면 광덕사길 30,(광덕면),34,A02,A0201,A02010800,127233,12,20021016000000,http://tong.visitkorea.or.kr/cms/resource/02/565702_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/565702_image3_1.jpg,127.0423566072,36.6759083444,20190306145143,31592,12.0,,광덕사(천안),6.0,31220
900,충청남도 천안시 동남구 광덕면 광덕사길 30,,34,A01,A0101,A01010400,127200,12,20030423000000,http://tong.visitkorea.or.kr/cms/resource/00/1602600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1602600_image3_1.jpg,127.0423232763,36.6759000112,20191029100838,55917,12.0,,광덕산,6.0,31220
901,충청남도 천안시 동남구 광덕면 해사동길 15,,34,A02,A0203,A02030500,126760,12,20030731000000,,,127.0361683163,36.6743972978,20181123152803,23794,12.0,,광덕산 관광농원,6.0,31220
902,충청남도 천안시 동남구 광덕면 광덕사길,,34,A01,A0101,A01010400,128128,12,20040430000000,http://tong.visitkorea.or.kr/cms/resource/64/1495664_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1495664_image3_1.jpg,127.0355346456,36.6889095067,20180608150120,36911,9.0,,광덕산(아산),6.0,31220
903,강원도 화천군 사내면 천문대길 47,,32,A01,A0101,A01010400,128098,12,20040325000000,http://tong.visitkorea.or.kr/cms/resource/17/2566317_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2566317_image3_1.jpg,127.4431685244,38.1054943806,20181203161927,29856,17.0,,광덕산(화천),6.0,24150
904,경기도 광명시 노은사동,,31,A02,A0201,A02010700,736607,12,20090520104801,http://tong.visitkorea.or.kr/cms/resource/70/734370_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/734370_image3_1.jpg,126.8619046579,37.4397057840,20190911161731,20477,4.0,,광명 영회원(민회빈),6.0,14334
905,강원도 춘천시 서면 박사로 741-11,,32,A03,A0303,A03030500,2396448,12,20160804145141,,,127.6837641748,37.8862355155,20160812171845,564,13.0,033-243-5127,광명낚시터,6.0,24461
906,부산광역시 부산진구 안창로14번길 46,(범천동),6,A02,A0201,A02010800,298091,12,20071127124732,,,129.0451182721,35.1462125525,20191016165110,25615,7.0,,광명사(부산),6.0,47376
907,부산광역시 중구 광복동,,6,A02,A0203,A02030600,126857,12,20040223000000,http://tong.visitkorea.or.kr/cms/resource/02/1804802_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/1804802_image3_1.jpg,129.0312902050,35.0991036826,20181127153147,32731,15.0,,광복로문화패션거리,6.0,48953
908,경상북도 안동시 와룡면 선돌길 113-16,,35,A02,A0201,A02010400,127014,12,20020513000000,http://tong.visitkorea.or.kr/cms/resource/97/178197_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/178197_image3_1.jpg,128.7738895383,36.6164440103,20181026141106,20860,11.0,,광산김씨 유일재고택,6.0,36611
909,경상남도 창녕군 유어면 유어장마로 415,(유어면),36,A02,A0201,A02010700,1622793,12,20120504163255,,,128.4400256903,35.4894934617,20190418174732,15373,15.0,,광산서당,6.0,50305
910,광주광역시 북구 무등로 1550,(금곡동),5,A01,A0101,A01010400,2614769,12,20190809101649,http://tong.visitkorea.or.kr/cms/resource/64/2614764_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/64/2614764_image2_1.bmp,126.9890013959,35.1441458348,20190809101649,0,4.0,,광석대 (무등산권 국가지질공원),6.0,61147
911,인천광역시 강화군 불은면 해안동로466번길 27,(불은면),2,A02,A0201,A02010700,127213,12,20060302000000,http://tong.visitkorea.or.kr/cms/resource/82/2363682_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2363682_image3_1.jpg,126.5302453301,37.6641793544,20181017110001,68862,1.0,,광성보,6.0,23047
912,충청남도 예산군 광시면 광시소길,,34,A02,A0203,A02030600,1936453,12,20140723174646,http://tong.visitkorea.or.kr/cms/resource/17/2026117_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2026117_image3_1.jpg,126.7746063541,36.5490682395,20191202150113,4342,11.0,,광시 한우거리,6.0,32457
913,경상남도 함안군 칠북면 봉촌2길 277,(칠북면),36,A02,A0201,A02010700,250419,12,20071026000000,http://tong.visitkorea.or.kr/cms/resource/71/2484471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2484471_image2_1.jpg,128.5585266977,35.3765694462,20191107171753,17021,19.0,,광심정,6.0,52005
914,부산광역시 수영구 민락동,(민락동),6,A02,A0203,A02030600,127925,12,20031007000000,http://tong.visitkorea.or.kr/cms/resource/88/1156588_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1156588_image3_1.jpg,129.1221363273,35.1551657503,20191226142834,39687,12.0,,광안리해변 테마거리,6.0,48284
915,부산광역시 수영구 광안해변로 219,(광안동),6,A01,A0101,A01011200,126078,12,20030826000000,http://tong.visitkorea.or.kr/cms/resource/90/2364290_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2364290_image3_1.jpg,129.1184922375,35.1537908369,20191111155304,99488,12.0,,광안리해수욕장,6.0,48303
916,경기도 하남시 서하남로 293,(광암동),31,A02,A0204,A02040800,2464592,12,20161219172752,,,127.1749988705,37.5209464137,20190425150318,3158,30.0,,광암 아리수 정수센터,6.0,12989
917,전라남도 광양시 다압면 섬진강매화로 1563-1,,38,A02,A0203,A02030100,126669,12,20040225000000,http://tong.visitkorea.or.kr/cms/resource/49/2483749_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2483749_image3_1.jpg,127.7153501534,35.0803571860,20190227164707,77872,4.0,,광양 매화마을,6.0,57709
918,전라남도 광양시 옥룡면 운암길 83,,38,A01,A0101,A01010500,126667,12,20031117000000,http://tong.visitkorea.or.kr/cms/resource/47/2483747_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2483747_image3_1.jpg,127.6092270226,35.0461202998,20190304094537,33267,4.0,,광양 옥룡사 동백나무 숲,6.0,57702
919,전라남도 광양시 옥룡면 백계1길 71,,38,A02,A0201,A02010700,1623771,12,20120507111826,http://tong.visitkorea.or.kr/cms/resource/21/1606821_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1606821_image3_1.jpg,127.6060828241,35.0473006680,20190227170702,18710,4.0,,광양 옥룡사지,6.0,57702
920,전라남도 광양시 진월면 망덕길 249,,38,A02,A0201,A02010400,2614384,12,20190807100342,,,127.7591880209,34.9707924868,20190807100342,0,4.0,,광양 윤동주 유고보존 정병욱 가옥,6.0,57712
921,전라남도 광양시 봉강면 신촌길 21-6,(봉강면),38,A02,A0203,A02030100,1346871,12,20110801110532,,,127.5624280359,35.0586597443,20191212142815,52209,4.0,,광양 형제의병장마을,6.0,57700
922,전라남도 광양시 광양읍 인덕로 1100,,38,A02,A0204,A02040800,2469406,12,20161223133116,,,127.5827643517,34.9808660669,20190429150742,1922,4.0,,광양만권 경제자유구역 홍보관,6.0,57741
923,전라남도 광양시 광양읍 향교길 67,,38,A02,A0201,A02010700,1624171,12,20120507162751,http://tong.visitkorea.or.kr/cms/resource/71/1608471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1608471_image3_1.jpg,127.5881193966,34.9824437602,20190207170847,18405,4.0,,광양향교,6.0,57734
924,충북 영동군 양산면 수두리,308번지,33,A02,A0203,A02030500,126942,12,20030731000000,,,127.6554970482,36.1318065170,20180703142716,21863,4.0,"043-743-8851, 744-9088",광운농촌교육농장,6.0,370-832
925,서울특별시 종로구 창경궁로 88,(예지동),1,A02,A0203,A02030400,2637918,12,20191121094618,,,126.9997217621,37.5701653166,20191121094618,0,23.0,,광장시장 한복문화 체험관,6.0,03195
926,경상남도 진주시 명석면 광제산로685번길 116,(명석면),36,A02,A0201,A02010700,1959492,12,20141023113445,,,128.0310951072,35.2754074610,20190418163344,1622,13.0,,광제서원,6.0,52641
927,전라북도 임실군 삼계면 세심길 82,(삼계면),37,A02,A0201,A02010700,127006,12,20020513000000,,,127.2445643318,35.4934496041,20181017140653,17776,10.0,,광제정,6.0,55947
928,광주광역시 남구 사직길 49,(사동),5,A02,A0205,A02050200,128158,12,20040602000000,http://tong.visitkorea.or.kr/cms/resource/63/2493363_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2493363_image2_1.jpg,126.9155968119,35.1425419960,20191223165552,23964,2.0,,광주 경찰충혼탑,6.0,61638
929,경기도 광주시 곤지암읍 경충대로 727,,31,A02,A0202,A02020600,1903260,12,20140306093709,,,127.3272620740,37.3520659710,20190906110000,13233,5.0,,광주 곤지암도자공원,6.0,12805
930,경기도 광주시 도척면 추곡길 38,,31,A02,A0203,A02030100,802566,12,20090914132150,http://tong.visitkorea.or.kr/cms/resource/67/2480267_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2480267_image2_1.jpg,127.2913729464,37.2792598597,20191010154814,24406,5.0,,광주 산두른마을 [농촌전통테마],6.0,12819
931,광주광역시 서구 동하길 10,(세하동) 외,5,A02,A0201,A02010700,686382,12,20090210173850,http://tong.visitkorea.or.kr/cms/resource/36/741836_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/741836_image3_1.jpg,126.8338490284,35.1207264135,20190916141227,34652,5.0,,광주 서구 8경,6.0,62076
932,광주광역시 광산구 송정동,,5,A02,A0203,A02030600,2605353,12,20190605161415,http://tong.visitkorea.or.kr/cms/resource/65/2368465_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2368465_image3_1.jpg,126.7944798443,35.1385209640,20190605161415,0,1.0,,광주 송정동 떡갈비 골목,6.0,62430
933,광주광역시 동구 예술길 24,(궁동),5,A02,A0203,A02030600,126429,12,20020419000000,http://tong.visitkorea.or.kr/cms/resource/60/2364360_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2364360_image3_1.jpg,126.9186491379,35.1498078933,20190731105135,59986,3.0,,광주 예술의 거리,6.0,61475
934,광주광역시 북구 우치로 677,,5,A02,A0202,A02020600,2002480,12,20150511142011,http://tong.visitkorea.or.kr/cms/resource/48/2003548_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2003548_image2_1.jpg,126.8890332523,35.2230768934,20190625145824,17254,4.0,,광주 우치공원 동물원,6.0,61028
935,경기도 광주시 퇴촌면 천진암로,일대,31,A02,A0201,A02010600,125581,12,20020502000000,,,127.3399413421,37.4542960236,20190211171911,32675,5.0,,광주 조선백자 요지,6.0,12713
936,광주광역시 북구 충효샘길 7,(충효동),5,A01,A0102,A01020100,127325,12,20020510000000,http://tong.visitkorea.or.kr/cms/resource/20/2369720_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2369720_image3_1.jpg,127.0011659808,35.1841776330,20180619141717,40371,4.0,,광주 충효동 왕버들 군,6.0,61146
937,광주광역시 북구 풍암제길 14,(금곡동),5,A02,A0201,A02010700,127323,12,20020510000000,http://tong.visitkorea.or.kr/cms/resource/82/741682_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/741682_image3_1.jpg,126.9983333183,35.1674711376,20181005164554,31185,4.0,,광주 충효동 요지,6.0,61147
